Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
R00854,Wilmington,19803,07/10/2009,PV,Residential,5.88,,,,42548.00,10637.00,,,Paid
R00893,Camden-Wyoming,19934,09/21/2009,PV,Residential,5.88,,,,41672.04,10418.01,,,Paid
R00925,Selbyville,19975,11/02/2009,PV,Residential,5.88,,,,46452.00,11613.00,,,Paid
R01103,Newark,19702,09/09/2010,PV,Residential,5.88,,,,30741.52,7685.38,,,Paid
R01202,Middletown,19709,12/16/2010,PV,Residential,5.88,,,,37500.00,9375.00,,,Paid - ARRA
R01526,Bear,19701,04/24/2012,PV,Residential,5.88,,,,23500.00,6910.00,,,Paid
R01560,Lewes,19958,05/26/2012,PV,Residential,5.88,,,,30000.00,6910.00,,,Paid
R01591,Frankford,19945,07/13/2012,PV,Residential,5.88,,,,24476.00,6910.00,,,Paid
R02255,New Castle,19720,06/30/2014,PV,Solar Lease,5.88,,,,24578.40,6910.00,,,Paid
R02269,Townsend,19734,06/30/2014,PV,Solar Lease,5.88,,,,24578.40,6910.00,,,Paid
8960,Wilmington,19808,01/25/2017,PV,Residential,5.88,,,,23755.00,1000.00,rooftop,lease,Paid
9506,Ocean View,19970,10/10/2018,PV,Residential,5.88,,,,29500.00,2940.00,rooftop,owned,Paid
9498,Ocean View,19970,04/24/2018,PV,Residential,5.89,,,,16771.00,2945.00,rooftop,owned,Paid
9181,Milton,19968,05/11/2017,PV,Residential,5.9,,,,15400.00,2950.00,rooftop,owned,Paid
R01131,Rehoboth Beach,19971,10/04/2010,PV,Residential,5.92,,,,36964.00,9241.00,,,Paid
R01221,Newark,19711,01/04/2011,PV,Residential,5.92,,,,34800.00,8700.00,,,Paid - ARRA
R00751,Wilmington,19810,04/07/2009,PV,Residential,5.94,,,,46000.00,23000.00,,,Paid - ARRA
R01086,Newark,19702,08/20/2010,PV,Residential,5.94,,,,36000.00,9000.00,,,Paid
R01143,Newark,19711,10/20/2010,PV,Residential,5.94,,,,35000.00,8750.00,,,Paid
R02057,Rehoboth Beach,19971,03/21/2014,PV,Residential,5.94,,,,20876.00,6955.00,,,Paid
8100,Harrington,19952,07/27/2016,PV,Residential,5.94,,,,19000.00,1000.00,rooftop,lease,Paid
R00477,Wilmington,19808,08/06/2008,PV,Residential,5.95,,,,49000.00,24500.00,,,Paid
R00305,Rehoboth Beach,19971,01/28/2008,PV,Residential,5.964,,,,63000.00,31500.00,,,Paid
R01159,Slaughter Beach,19963,11/02/2010,PV,Residential,5.98,,,,29987.00,7497.00,,,Paid
R01801,Rehoboth Beach,19971,06/20/2013,PV,Solar Lease,5.98,,,,33069.40,6985.00,,,Paid
6720,Milton,19968,09/29/2015,PV,Residential,5.98,,,,29900.00,4495.00,rooftop,ppa,Paid
7361,Selbyville,19975,03/17/2016,PV,Residential,5.98,,,,42900.00,1000.00,rooftop,ppa,Paid
7400,Millsboro,19966,05/11/2016,PV,Residential,5.98,,,,29900.00,1000.00,rooftop,lease,Paid
7771,Rehoboth Beach,19971,05/23/2016,PV,Residential,5.98,,,,21125.00,2946.00,rooftop,owned,Paid
7308,Bethany Beach,19930,05/23/2016,PV,Residential,5.98,,,,29900.00,1000.00,rooftop,lease,Paid
7933,Dover,19901,06/03/2016,PV,Residential,5.98,,,,26611.00,1000.00,rooftop,lease,Paid
8155,Rehoboth Beach,19971,09/01/2016,PV,Residential,5.98,,,,26611.00,1000.00,rooftop,lease,Paid
8390,Camden-Wyoming,19934,10/03/2016,PV,Residential,5.98,,,,16388.00,1000.00,rooftop,ppa,Paid
